"capability","count"
"BlueprintAssignments","0"
"Blueprints","0"
"ManagementGroups","11"
"PolicyAssignments","0"
"PolicyAssignments_ManagementGroups","0"
"PolicyAssignments_ResourceGroups","0"
"PolicyAssignments_Subscriptions","0"
"PolicyDefinitionsCustom","103"
"PolicySetDefinitionsCustom","7"
"Resources","0"
"ResourceTypes","0"
"RoleDefinitionsCustom","4"
"Subscriptions","0"
"SubscriptionsOutOfScope","0"
"TotalRoleAssignments","24"
"TotalRoleAssignments_ManagementGroups","10"
"TotalRoleAssignments_RgRes","0"
"TotalRoleAssignments_Subscriptions","0"
"TotalRoleAssignments_Tenant","14"
