"Type","ScopeMGLevel","Scope","ScopeId","PolicyDisplayName","PolicyDefinitionName","PolicyDefinitionId","PolicyEffect","PolicyCategory","UniqueAssignments","UsedInPolicySetsCount","UsedInPolicySet4CSV","CreatedOn","CreatedBy","UpdatedOn","UpdatedBy"
"BuiltIn","","","","Audit virtual machines without disaster recovery configured","0015ea4d-51ff-4ce3-8d8c-f3f8f0179a56","/providers/microsoft.authorization/policydefinitions/0015ea4d-51ff-4ce3-8d8c-f3f8f0179a56","Fixed: auditIfNotExists","Compute","0","13","[Deprecated]: DoD Impact Level 4 (/providers/microsoft.authorization/policysetdefinitions/8d792a84-723c-4d92-a3c3-e4ed16a2d133); [Preview]: Australian Government ISM PROTECTED (/providers/microsoft.authorization/policysetdefinitions/27272c0b-c225-4cc3-b8b0-f2534b093077); [Preview]: RMIT Malaysia (/providers/microsoft.authorization/policysetdefinitions/97a6d4f1-3bed-4cf4-ac5b-0e444c0408d6); Canada Federal PBMM (/providers/microsoft.authorization/policysetdefinitions/4c4a5f27-de81-430b-b4e5-9cbd50595a87); CMMC Level 3 (/providers/microsoft.authorization/policysetdefinitions/b5629c75-5c77-4422-87b9-2509e680f8de); FedRAMP High (/providers/microsoft.authorization/policysetdefinitions/d5264498-16f4-418a-b659-fa7ef418175f); FedRAMP Moderate (/providers/microsoft.authorization/policysetdefinitions/e95f5a9f-57ad-4d03-bb0b-b1d16db93693); HITRUST/HIPAA (/providers/microsoft.authorization/policysetdefinitions/a169a624-5599-4385-a696-c8d643089fab); IRS1075 September 2016 (/providers/microsoft.authorization/policysetdefinitions/105e0327-6175-4eb2-9af4-1fba43bdb39d); New Zealand ISM Restricted (/providers/microsoft.authorization/policysetdefinitions/d1a462af-7e6d-4901-98ac-61570b4ed22a); NIST SP 800-53 Rev. 4 (/providers/microsoft.authorization/policysetdefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f); NIST SP 800-53 Rev. 5 (/providers/microsoft.authorization/policysetdefinitions/179d1daa-458f-4e47-8086-2a68d0d6c38f); UK OFFICIAL and UK NHS (/providers/microsoft.authorization/policysetdefinitions/3937f550-eedd-4639-9c5e-294358be442e)","","","",""
"BuiltIn","","","","[Deprecated]: Audit Web Sockets state for a Function App","001802d1-4969-4c82-a700-c29c6c6f9bbd","/providers/microsoft.authorization/policydefinitions/001802d1-4969-4c82-a700-c29c6c6f9bbd","Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled","Security Center","0","0","","","","",""
"BuiltIn","","","","Vulnerability assessment should be enabled on your Synapse workspaces","0049a6b3-a662-4f3e-8635-39cf44ace45a","/providers/microsoft.authorization/policydefinitions/0049a6b3-a662-4f3e-8635-39cf44ace45a","Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled","Synapse","0","5","FedRAMP High (/providers/microsoft.authorization/policysetdefinitions/d5264498-16f4-418a-b659-fa7ef418175f); FedRAMP Moderate (/providers/microsoft.authorization/policysetdefinitions/e95f5a9f-57ad-4d03-bb0b-b1d16db93693); NIST SP 800-171 Rev. 2 (/providers/microsoft.authorization/policysetdefinitions/03055927-78bd-4236-86c0-f36125a10dc9); NIST SP 800-53 Rev. 4 (/providers/microsoft.authorization/policysetdefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f); NIST SP 800-53 Rev. 5 (/providers/microsoft.authorization/policysetdefinitions/179d1daa-458f-4e47-8086-2a68d0d6c38f)","","","",""
"BuiltIn","","","","SQL Server Integration Services integration runtimes on Azure Data Factory should be joined to a virtual network","0088bc63-6dee-4a9c-9d29-91cfdc848952","/providers/microsoft.authorization/policydefinitions/0088bc63-6dee-4a9c-9d29-91cfdc848952","Default: Audit; Allowed: Audit,Deny,Disabled","Data Factory","0","0","","","","",""
"BuiltIn","","","","[Preview]: Configure VMSS created with Shared Image Gallery images to install the Guest Attestation extension","009259b0-12e8-42c9-94e7-7af86aa58d13","/providers/microsoft.authorization/policydefinitions/009259b0-12e8-42c9-94e7-7af86aa58d13","Default: DeployIfNotExists; Allowed: DeployIfNotExists,Disabled","Security Center","0","1","[Preview]: Configure prerequisites to enable Guest Attestation on Trusted Launch enabled VMs (/providers/microsoft.authorization/policysetdefinitions/281d9e47-d14d-4f05-b8eb-18f2c4a034ff)","","","",""
"BuiltIn","","","","Private endpoint connections on Batch accounts should be enabled","009a0c92-f5b4-4776-9b66-4ed2b4775563","/providers/microsoft.authorization/policydefinitions/009a0c92-f5b4-4776-9b66-4ed2b4775563","Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled","Batch","0","1","New Zealand ISM Restricted (/providers/microsoft.authorization/policysetdefinitions/d1a462af-7e6d-4901-98ac-61570b4ed22a)","","","",""
"BuiltIn","","","","Azure Backup should be enabled for Virtual Machines","013e242c-8828-4970-87b3-ab247555486d","/providers/microsoft.authorization/policydefinitions/013e242c-8828-4970-87b3-ab247555486d","Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled","Backup","0","11","[Deprecated]: Azure Security Benchmark v1 (/providers/microsoft.authorization/policysetdefinitions/42a694ed-f65e-42b2-aa9e-8052e9740a92); [Deprecated]: Azure Security Benchmark v2 (/providers/microsoft.authorization/policysetdefinitions/bb522ac1-bc39-4957-b194-429bcd3bcb0b); [Preview]: RMIT Malaysia (/providers/microsoft.authorization/policysetdefinitions/97a6d4f1-3bed-4cf4-ac5b-0e444c0408d6); Azure Security Benchmark (/providers/microsoft.authorization/policysetdefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8); CMMC Level 3 (/providers/microsoft.authorization/policysetdefinitions/b5629c75-5c77-4422-87b9-2509e680f8de); FedRAMP High (/providers/microsoft.authorization/policysetdefinitions/d5264498-16f4-418a-b659-fa7ef418175f); FedRAMP Moderate (/providers/microsoft.authorization/policysetdefinitions/e95f5a9f-57ad-4d03-bb0b-b1d16db93693); HITRUST/HIPAA (/providers/microsoft.authorization/policysetdefinitions/a169a624-5599-4385-a696-c8d643089fab); NIST SP 800-171 Rev. 2 (/providers/microsoft.authorization/policysetdefinitions/03055927-78bd-4236-86c0-f36125a10dc9); NIST SP 800-53 Rev. 4 (/providers/microsoft.authorization/policysetdefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f); NIST SP 800-53 Rev. 5 (/providers/microsoft.authorization/policysetdefinitions/179d1daa-458f-4e47-8086-2a68d0d6c38f)","","","",""
"BuiltIn","","","","[Deprecated]: Show audit results from Windows VMs on which the remote connection status does not match the specified one","02a84be7-c304-421f-9bb7-5d2c26af54ad","/providers/microsoft.authorization/policydefinitions/02a84be7-c304-421f-9bb7-5d2c26af54ad","Fixed: auditIfNotExists","Guest Configuration","0","1","[Deprecated]: Audit Windows VMs on which the remote host connection status does not match the specified one (/providers/microsoft.authorization/policysetdefinitions/4ddaefff-7c78-4824-9b27-5c344f3cdf90)","","","",""
"BuiltIn","","","","[Preview]: Azure Security agent should be installed on your Windows Arc machines","0367cfc4-90b3-46ba-a8a6-ddd5d3514878","/providers/microsoft.authorization/policydefinitions/0367cfc4-90b3-46ba-a8a6-ddd5d3514878","Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled","Security Center","0","0","","","","",""
"BuiltIn","","","","Cognitive Services accounts should restrict network access","037eea7a-bd0a-46c5-9a66-03aea78705d3","/providers/microsoft.authorization/policydefinitions/037eea7a-bd0a-46c5-9a66-03aea78705d3","Default: Audit; Allowed: Audit,Deny,Disabled","Cognitive Services","0","9","[Deprecated]: Azure Security Benchmark v2 (/providers/microsoft.authorization/policysetdefinitions/bb522ac1-bc39-4957-b194-429bcd3bcb0b); Azure Security Benchmark (/providers/microsoft.authorization/policysetdefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8); CMMC Level 3 (/providers/microsoft.authorization/policysetdefinitions/b5629c75-5c77-4422-87b9-2509e680f8de); FedRAMP High (/providers/microsoft.authorization/policysetdefinitions/d5264498-16f4-418a-b659-fa7ef418175f); FedRAMP Moderate (/providers/microsoft.authorization/policysetdefinitions/e95f5a9f-57ad-4d03-bb0b-b1d16db93693); New Zealand ISM Restricted (/providers/microsoft.authorization/policysetdefinitions/d1a462af-7e6d-4901-98ac-61570b4ed22a); NIST SP 800-171 Rev. 2 (/providers/microsoft.authorization/policysetdefinitions/03055927-78bd-4236-86c0-f36125a10dc9); NIST SP 800-53 Rev. 4 (/providers/microsoft.authorization/policysetdefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f); NIST SP 800-53 Rev. 5 (/providers/microsoft.authorization/policysetdefinitions/179d1daa-458f-4e47-8086-2a68d0d6c38f)","","","",""
"BuiltIn","","","","Azure Kubernetes Service Private Clusters should be enabled","040732e8-d947-40b8-95d6-854c95024bf8","/providers/microsoft.authorization/policydefinitions/040732e8-d947-40b8-95d6-854c95024bf8","Default: Audit; Allowed: Audit,Deny,Disabled","Kubernetes","0","1","Public network access should be disabled for PaaS services (/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policysetdefinitions/deny-publicpaasendpoints)","","","",""
"BuiltIn","","","","Audit Linux machines that have the specified applications installed","0447bc18-e2f7-4c0d-aa20-bff034275be1","/providers/microsoft.authorization/policydefinitions/0447bc18-e2f7-4c0d-aa20-bff034275be1","Default: AuditIfNotExists; Allowed: AuditIfNotExists,Disabled","Guest Configuration","0","0","","","","",""
