"Type","ScopeMGLevel","Scope","ScopeId","PolicySetDisplayName","PolicySetDefinitionName","PolicySetDefinitionId","PolicySetCategory","UniqueAssignments","PoliciesUsed","CreatedOn","CreatedBy","UpdatedOn","UpdatedBy"
"BuiltIn","","","","NIST SP 800-171 Rev. 2","03055927-78bd-4236-86c0-f36125a10dc9","/providers/microsoft.authorization/policysetdefinitions/03055927-78bd-4236-86c0-f36125a10dc9","Regulatory Compliance","0","260","","","",""
"BuiltIn","","","","[Deprecated]: Audit Windows VMs in which the Administrators group does not contain only the specified members","06122b01-688c-42a8-af2e-fa97dd39aa3b","/providers/microsoft.authorization/policysetdefinitions/06122b01-688c-42a8-af2e-fa97dd39aa3b","Guest Configuration","0","2","","","",""
"BuiltIn","","","","[Deprecated]: Audit Windows VMs on which the Log Analytics agent is not connected as expected","06c5e415-a662-463a-bb85-ede14286b979","/providers/microsoft.authorization/policysetdefinitions/06c5e415-a662-463a-bb85-ede14286b979","Guest Configuration","0","2","","","",""
"BuiltIn","","","","Audit machines with insecure password security settings","095e4ed9-c835-4ab6-9439-b5644362a06c","/providers/microsoft.authorization/policysetdefinitions/095e4ed9-c835-4ab6-9439-b5644362a06c","Guest Configuration","0","9","","","",""
"BuiltIn","","","","IRS1075 September 2016","105e0327-6175-4eb2-9af4-1fba43bdb39d","/providers/microsoft.authorization/policysetdefinitions/105e0327-6175-4eb2-9af4-1fba43bdb39d","Regulatory Compliance","0","62","","","",""
"BuiltIn","","","","Configure Linux machines to run Azure Monitor Agent and associate them to a Data Collection Rule","118f04da-0375-44d1-84e3-0fd9e1849403","/providers/microsoft.authorization/policysetdefinitions/118f04da-0375-44d1-84e3-0fd9e1849403","Monitoring","0","4","","","",""
"BuiltIn","","","","Deploy prerequisites to enable Guest Configuration policies on virtual machines","12794019-7a00-42cf-95c2-882eed337cc8","/providers/microsoft.authorization/policysetdefinitions/12794019-7a00-42cf-95c2-882eed337cc8","Guest Configuration","0","4","","","",""
"BuiltIn","","","","[Deprecated]: Audit Windows VMs in which the Administrators group does not contain all of the specified members","133046de-0bd7-4546-93f4-f452e9e258b7","/providers/microsoft.authorization/policysetdefinitions/133046de-0bd7-4546-93f4-f452e9e258b7","Guest Configuration","0","2","","","",""
"BuiltIn","","","","NIST SP 800-53 Rev. 5","179d1daa-458f-4e47-8086-2a68d0d6c38f","/providers/microsoft.authorization/policysetdefinitions/179d1daa-458f-4e47-8086-2a68d0d6c38f","Regulatory Compliance","0","259","","","",""
"BuiltIn","","","","CIS Microsoft Azure Foundations Benchmark v1.1.0","1a5bb27d-173f-493e-9568-eb56638dde4d","/providers/microsoft.authorization/policysetdefinitions/1a5bb27d-173f-493e-9568-eb56638dde4d","Regulatory Compliance","0","94","","","",""
