"Name","Id","Description","Type","AssignmentsCount","AssignableScopesCount","AssignableScopesMG","AssignableScopes","DataRelated","RoleAssWriteCapable","Actions","NotActions","DataActions","NotDataActions"
"AcrDelete","c2f4ef07-c644-48eb-af81-4b1b4947fb11","acr delete","Builtin","0","","","/","false","False","Microsoft.ContainerRegistry/registries/artifacts/delete","","",""
"AcrImageSigner","6cef56e8-d556-48e5-a04f-b8e64114680f","acr image signer","Builtin","0","","","/","true","False","Microsoft.ContainerRegistry/registries/sign/write","","Microsoft.ContainerRegistry/registries/trustedCollections/write",""
"AcrPull","7f951dda-4ed3-4680-a7ca-43fe172d538d","acr pull","Builtin","0","","","/","false","False","Microsoft.ContainerRegistry/registries/pull/read","","",""
"AcrPush","8311e382-0749-4cb8-b61a-304f252e45ec","acr push","Builtin","0","","","/","false","False","Microsoft.ContainerRegistry/registries/pull/read; Microsoft.ContainerRegistry/registries/push/write","","",""
"AcrQuarantineReader","cdda3590-29a3-44f6-95f2-9f980659eb04","acr quarantine data reader","Builtin","0","","","/","true","False","Microsoft.ContainerRegistry/registries/quarantine/read","","Microsoft.ContainerRegistry/registries/quarantinedArtifacts/read",""
"AcrQuarantineWriter","c8d4ff99-41c3-41a8-9f60-21dfdad59608","acr quarantine data writer","Builtin","0","","","/","true","False","Microsoft.ContainerRegistry/registries/quarantine/read; Microsoft.ContainerRegistry/registries/quarantine/write","","Microsoft.ContainerRegistry/registries/quarantinedArtifacts/read; Microsoft.ContainerRegistry/registries/quarantinedArtifacts/write",""
"AgFood Platform Sensor Partner Contributor","6b77f0a0-0d89-41cc-acd1-579c22c17a67","Provides contribute access to manage sensor related entities in AgFood Platform Service","Builtin","0","","","/","true","False","","","Microsoft.AgFoodPlatform/sensorPartnerScope/*","Microsoft.AgFoodPlatform/sensorPartnerScope/sensors/delete"
"AgFood Platform Service Admin","f8da80de-1ff9-4747-ad80-a19b7f6079e3","Provides admin access to AgFood Platform Service","Builtin","0","","","/","true","False","","","Microsoft.AgFoodPlatform/*",""
"AgFood Platform Service Contributor","8508508a-4469-4e45-963b-2518ee0bb728","Provides contribute access to AgFood Platform Service","Builtin","0","","","/","true","False","","","Microsoft.AgFoodPlatform/*/action; Microsoft.AgFoodPlatform/*/read; Microsoft.AgFoodPlatform/*/write","Microsoft.AgFoodPlatform/farmers/write; Microsoft.AgFoodPlatform/deletionJobs/*/write"
"AgFood Platform Service Reader","7ec7ccdc-f61e-41fe-9aaf-980df0a44eba","Provides read access to AgFood Platform Service","Builtin","0","","","/","true","False","","","Microsoft.AgFoodPlatform/*/read",""
"AnyBuild Builder","a2138dac-4907-4679-a376-736901ed8ad8","Basic user role for AnyBuild. This role allows listing of agent information and execution of remote build capabilities.","Builtin","0","","","/","true","False","","","Microsoft.AnyBuild/clusters/build/write; Microsoft.AnyBuild/clusters/build/read",""
"API Management Service Contributor","312a565d-c81f-4fd8-895a-4e21e48d571c","Can manage service and the APIs","Builtin","0","","","/","false","False","Microsoft.ApiManagement/service/*; Microsoft.Authorization/*/read; Microsoft.Insights/alertRules/*; Microsoft.ResourceHealth/availabilityStatuses/read; Microsoft.Resources/deployments/*; Microsoft.Resources/subscriptions/resourceGroups/read; Microsoft.Support/*","","",""
"API Management Service Operator Role","e022efe7-f5ba-4159-bbe4-b44f577e9b61","Can manage service but not the APIs","Builtin","0","","","/","false","False","Microsoft.ApiManagement/service/*/read; Microsoft.ApiManagement/service/backup/action; Microsoft.ApiManagement/service/delete; Microsoft.ApiManagement/service/managedeployments/action; Microsoft.ApiManagement/service/read; Microsoft.ApiManagement/service/restore/action; Microsoft.ApiManagement/service/updatecertificate/action; Microsoft.ApiManagement/service/updatehostname/action; Microsoft.ApiManagement/service/write; Microsoft.Authorization/*/read; Microsoft.Insights/alertRules/*; Microsoft.ResourceHealth/availabilityStatuses/read; Microsoft.Resources/deployments/*; Microsoft.Resources/subscriptions/resourceGroups/read; Microsoft.Support/*","Microsoft.ApiManagement/service/users/keys/read","",""
"API Management Service Reader Role","71522526-b88f-4d52-b57f-d31fc3546d0d","Read-only access to service and APIs","Builtin","0","","","/","false","False","Microsoft.ApiManagement/service/*/read; Microsoft.ApiManagement/service/read; Microsoft.Authorization/*/read; Microsoft.Insights/alertRules/*; Microsoft.ResourceHealth/availabilityStatuses/read; Microsoft.Resources/deployments/*; Microsoft.Resources/subscriptions/resourceGroups/read; Microsoft.Support/*","Microsoft.ApiManagement/service/users/keys/read","",""
"App Configuration Data Owner","5ae67dd6-50cb-40e7-96ff-dc2bfa4b606b","Allows full access to App Configuration data.","Builtin","0","","","/","true","False","","","Microsoft.AppConfiguration/configurationStores/*/read; Microsoft.AppConfiguration/configurationStores/*/write; Microsoft.AppConfiguration/configurationStores/*/delete",""
"App Configuration Data Reader","516239f1-63e1-4d78-a4de-a74fb236a071","Allows read access to App Configuration data.","Builtin","0","","","/","true","False","","","Microsoft.AppConfiguration/configurationStores/*/read",""
"Application Group Contributor","ca6382a4-1721-4bcf-a114-ff0c70227b6b","Contributor of the Application Group.","Builtin","0","","","/","false","False","Microsoft.DesktopVirtualization/applicationgroups/*; Microsoft.DesktopVirtualization/hostpools/read; Microsoft.DesktopVirtualization/hostpools/sessionhosts/read; Microsoft.DesktopVirtualization/workspaces/read; Microsoft.Resources/subscriptions/resourceGroups/read; Microsoft.Resources/deployments/*; Microsoft.Authorization/*/read; Microsoft.Insights/alertRules/*; Microsoft.Support/*","","",""
"Application Insights Component Contributor","ae349356-3a1b-4a5e-921d-050484c6347e","Can manage Application Insights components","Builtin","0","","","/","false","False","Microsoft.Authorization/*/read; Microsoft.Insights/alertRules/*; Microsoft.Insights/generateLiveToken/read; Microsoft.Insights/metricAlerts/*; Microsoft.Insights/components/*; Microsoft.Insights/scheduledqueryrules/*; Microsoft.Insights/topology/read; Microsoft.Insights/transactions/read; Microsoft.Insights/webtests/*; Microsoft.ResourceHealth/availabilityStatuses/read; Microsoft.Resources/deployments/*; Microsoft.Resources/subscriptions/resourceGroups/read; Microsoft.Support/*","","",""
"Application Insights Snapshot Debugger","08954f03-6346-4c2e-81c0-ec3a5cfae23b","Gives user permission to use Application Insights Snapshot Debugger features","Builtin","0","","","/","false","False","Microsoft.Authorization/*/read; Microsoft.Insights/alertRules/*; Microsoft.Insights/components/*/read; Microsoft.Resources/deployments/*; Microsoft.Resources/subscriptions/resourceGroups/read; Microsoft.Support/*","","",""
"Attestation Contributor","bbf86eb8-f7b4-4cce-96e4-18cddf81d86e","Can read write or delete the attestation provider instance","Builtin","0","","","/","false","False","Microsoft.Attestation/attestationProviders/attestation/read; Microsoft.Attestation/attestationProviders/attestation/write; Microsoft.Attestation/attestationProviders/attestation/delete","","",""
"Attestation Reader","fd1bd22b-8476-40bc-a0bc-69b95687b9f3","Can read the attestation provider properties","Builtin","0","","","/","false","False","Microsoft.Attestation/attestationProviders/attestation/read","","",""
"Automation Contributor","f353d9bd-d4a6-484e-a77a-8050b599b867","Manage azure automation resources and other resources using azure automation.","Builtin","0","","","/","false","False","Microsoft.Automation/automationAccounts/*; Microsoft.Authorization/*/read; Microsoft.Resources/deployments/*; Microsoft.Resources/subscriptions/resourceGroups/read; Microsoft.Support/*; Microsoft.Insights/ActionGroups/*; Microsoft.Insights/ActivityLogAlerts/*; Microsoft.Insights/MetricAlerts/*; Microsoft.Insights/ScheduledQueryRules/*; Microsoft.Insights/diagnosticSettings/*; Microsoft.OperationalInsights/workspaces/sharedKeys/action","","",""
"Automation Job Operator","4fe576fe-1146-4730-92eb-48519fa6bf9f","Create and Manage Jobs using Automation Runbooks.","Builtin","0","","","/","false","False","Microsoft.Authorization/*/read; Microsoft.Automation/automationAccounts/hybridRunbookWorkerGroups/read; Microsoft.Automation/automationAccounts/jobs/read; Microsoft.Automation/automationAccounts/jobs/resume/action; Microsoft.Automation/automationAccounts/jobs/stop/action; Microsoft.Automation/automationAccounts/jobs/streams/read; Microsoft.Automation/automationAccounts/jobs/suspend/action; Microsoft.Automation/automationAccounts/jobs/write; Microsoft.Automation/automationAccounts/jobs/output/read; Microsoft.Insights/alertRules/*; Microsoft.Resources/deployments/*; Microsoft.Resources/subscriptions/resourceGroups/read; Microsoft.Support/*","","",""
"Automation Operator","d3881f73-407a-4167-8283-e981cbba0404","Automation Operators are able to start, stop, suspend, and resume jobs","Builtin","0","","","/","false","False","Microsoft.Authorization/*/read; Microsoft.Automation/automationAccounts/hybridRunbookWorkerGroups/read; Microsoft.Automation/automationAccounts/jobs/read; Microsoft.Automation/automationAccounts/jobs/resume/action; Microsoft.Automation/automationAccounts/jobs/stop/action; Microsoft.Automation/automationAccounts/jobs/streams/read; Microsoft.Automation/automationAccounts/jobs/suspend/action; Microsoft.Automation/automationAccounts/jobs/write; Microsoft.Automation/automationAccounts/jobSchedules/read; Microsoft.Automation/automationAccounts/jobSchedules/write; Microsoft.Automation/automationAccounts/linkedWorkspace/read; Microsoft.Automation/automationAccounts/read; Microsoft.Automation/automationAccounts/runbooks/read; Microsoft.Automation/automationAccounts/schedules/read; Microsoft.Automation/automationAccounts/schedules/write; Microsoft.Insights/alertRules/*; Microsoft.ResourceHealth/availabilityStatuses/read; Microsoft.Resources/deployments/*; Microsoft.Automation/automationAccounts/jobs/output/read; Microsoft.Resources/subscriptions/resourceGroups/read; Microsoft.Support/*","","",""
"Automation Runbook Operator","5fb5aef8-1081-4b8e-bb16-9d5d0385bab5","Read Runbook properties - to be able to create Jobs of the runbook.","Builtin","0","","","/","false","False","Microsoft.Authorization/*/read; Microsoft.Automation/automationAccounts/runbooks/read; Microsoft.Insights/alertRules/*; Microsoft.Resources/deployments/*; Microsoft.Resources/subscriptions/resourceGroups/read; Microsoft.Support/*","","",""
